epoch;acc;loss;val_acc;val_loss
0;0.5193913827716498;0.8147127935075481;0.5860966334745027;0.683089107515009
1;0.5536622838769385;0.6852251299571726;0.5980577890706932;0.6706764015864558
2;0.5839493114819874;0.671036234501171;0.6228090969096536;0.6561476734225528
3;0.6224440780415627;0.6443401420483769;0.6749170998271073;0.6013561961550331
4;0.6209081315291618;0.6553733891336248;0.6975367165526639;0.583440734587931
5;0.720744937821383;0.5489248007241259;0.7135243935926104;0.5280147535097311
6;0.7318325741077965;0.5469343415706895;0.7617243074060672;0.5591661759543227
7;0.7278967059321192;0.565215459698002;0.7510658449214084;0.5322373277877869
8;0.7958625331141961;0.44867464545547386;0.8062529702821313;0.41793110403388894
9;0.8475568772415127;0.353758258809624;0.8321885322858122;0.3677852274483835
10;0.8607564567604095;0.3334261789693363;0.8131217390425902;0.3964834667421076
11;0.894307385408067;0.2692435693235032;0.8750592082498877;0.29832821683486116
12;0.8886915635579696;0.28075425092943046;0.8687825700447267;0.306854714556985
13;0.901891137961521;0.25795635759252566;0.8641639119186203;0.32529916296294376
14;0.8982912549602216;0.2542858303188305;0.8665324476927392;0.31164800609699755
15;0.8964193168249036;0.2601701983182641;0.8092136406774263;0.39174412866442876
16;0.9226264725597049;0.20820111603623356;0.8827569874639706;0.2863866125433324
0;0.5183694959857394;0.8164793977182636;0.5556608298444906;0.6838908945706601
1;0.5523303195812034;0.6871297732020564;0.5851492205257949;0.6749223852428652
2;0.5789145943122319;0.6729911889456387;0.6220985248946059;0.6559098617322408
0;0.5077836870884492;1.0313136629253852;0.5121980020357274;0.6912796851979901
1;0.5091727768523475;0.750355095412132;0.5499763184675726;0.6904403541620057
2;0.5067777885824017;0.7071969637173245;0.5431075214718485;0.6891858758998674
3;0.5226325623267466;0.6935614918893899;0.5742539069710157;0.6849627778011721
4;0.5402596178722661;0.6893162303868053;0.57993842487028;0.680839755505761
5;0.5581740628098736;0.6838874427981148;0.5793462800561733;0.6775293898266224
6;0.560856452734299;0.6810002931005888;0.5757934525361957;0.67562604376853
7;0.5763759129679042;0.6756870374572445;0.5865703450170867;0.6718323898789782
8;0.5822196568589435;0.6716849649895218;0.6071767108466376;0.6650322290858292
9;0.5971643489519572;0.6623716197228783;0.608597820401474;0.6506748307603957
0;0.5088393484098375;1.9241474776841603;0.50165796788142;1.0195738245445878
1;0.4963009182784669;0.9326825511171486;0.50165796788142;0.6959035037423354
2;0.495003838157947;0.7899854880264409;0.49834200231625764;0.6978696330866504
0;0.5060233902512935;1.203696032365163;0.5029842304678588;0.7432502800723411
1;0.5077777811658313;0.7883226442755314;0.5235185347041132;0.6910970264899386
2;0.5121052627675018;0.7104659380271421;0.5578371460793183;0.6915928966131369
3;0.5162573066371227;0.6982091002994113;0.5578371453551181;0.6885333689112579
4;0.5328070169303849;0.6905506085931209;0.5797925251518204;0.6827978700573037
5;0.5478947340396413;0.6876448382411087;0.5797214740901843;0.6770671950969503
6;0.5585380168686136;0.6845959731709887;0.5832030731235459;0.6761963591244269
7;0.5664327503644933;0.6812484637338515;0.5817820127501278;0.6744938126693857
8;0.5747953235057363;0.6769270583202964;0.5840556999575571;0.6720365192447346
9;0.5873099485335992;0.6724108896757427;0.5989057796913164;0.6643489703495801
10;0.601695910531875;0.662291857931349;0.62853489029521;0.6471920944808541
11;0.6001754430999533;0.6656521098655567;0.6116242707241525;0.6613105046015597
12;0.5745029208952921;0.671435062299695;0.6070058226026357;0.6589373827607384
13;0.6001169590922127;0.6605605385456866;0.6352138715287036;0.6423169244279302
14;0.6311695844109295;0.6373592562842787;0.6558903011219295;0.6139150147362157
15;0.6161988367114151;0.6548290454853348;0.5030552783235325;0.6986415232635619
16;0.5419298281446535;0.6888751976671275;0.6148927076323324;0.6579173222529341
17;0.5974853840487743;0.6619926300662303;0.6480744617626005;0.635010088830064
18;0.633742692526321;0.6322544074197959;0.6545402779487007;0.6027713169153058
19;0.6422807128108733;0.6200586560873957;0.6602955896000268;0.6521897990628707
20;0.6387134441855358;0.6278343671246579;0.659442955473192;0.5902981386192147
21;0.6956725179800514;0.569333381123013;0.6170242935804475;0.6323425044589241
22;0.644853797572398;0.614195740362357;0.6662640306731763;0.5973299831190078
23;0.7024561424701534;0.5575951463297794;0.6354980658736099;0.6046354005125685
24;0.6852631575879995;0.5579366548019543;0.7192695765937782;0.5243003992968635
